"Time","TrialNumber","ConditionID","Distance","Sphere.Side","StartAngle","MeasuredAngle","HMDHeight","ParticipantNumber"
104.58,1,31,12,"Left",272.75,1.31,1.541,"01"
120.2,2,56,20,"Left",205.92,-8.65,1.542,"01"
127.65,3,4,2,"Right",359.47,-0.53,1.542,"01"
137.84,4,2,2,"Left",123.26,8.96,1.541,"01"
161.12,5,28,10,"Right",134.82,-8.21,1.543,"01"
175.74,6,34,12,"Right",262.85,4.82,1.545,"01"
185.8,7,8,4,"Left",201.7,-12.09,1.547,"01"
199.5,8,10,4,"Right",165.74,-9.57,1.54,"01"
210.89,9,21,8,"Left",130.95,-5.02,1.541,"01"
221.13,10,3,2,"Left",23.11,7.38,1.547,"01"
231.14,11,1,2,"Left",249.22,11.76,1.547,"01"
240.83,12,43,16,"Left",277.54,-1.01,1.545,"01"
254.27,13,41,14,"Right",114.57,-4.91,1.539,"01"
267.33,14,49,18,"Left",293.06,-7.84,1.548,"01"
283.65,15,40,14,"Right",270.94,-10.33,1.544,"01"
298.33,16,16,6,"Right",331.7,-5.51,1.547,"01"
302.85,16,16,6,"Right",331.7,-1.63,1.542,"01"
312.84,17,36,12,"Right",169.37,1.51,1.544,"01"
323.55,18,38,14,"Left",327.09,-7.9,1.545,"01"
334.86,19,51,18,"Left",203,-9.34,1.542,"01"
340.89,20,26,10,"Left",199.47,-10.62,1.546,"01"
352.64,21,19,8,"Left",40.48,-8.79,1.542,"01"
362.69,22,17,6,"Right",202.85,-2.08,1.545,"01"
373.15,23,5,2,"Right",164.16,-6.12,1.55,"01"
389.61,24,59,20,"Right",237.01,-1.7,1.545,"01"
403.47,25,39,14,"Left",43.6,-14.7,1.542,"01"
413.1,26,13,6,"Left",73.68,-17.36,1.544,"01"
422.94,27,32,12,"Left",243.77,-10.95,1.546,"01"
437.42,28,53,18,"Right",203.56,-1.19,1.544,"01"
444.9,29,52,18,"Right",301.01,5.39,1.544,"01"
454.2,30,6,2,"Right",313.97,-1.15,1.546,"01"
455.24,30,6,2,"Right",313.97,-1.15,1.545,"01"
463.8,31,35,12,"Right",13.46,5.09,1.543,"01"
472.8,32,7,4,"Left",151.25,-0.69,1.544,"01"
477.95,33,18,6,"Right",356.48,-3.52,1.546,"01"
489.77,34,58,20,"Right",167.56,-7.56,1.546,"01"
502.29,35,14,6,"Left",354.47,-7.21,1.54,"01"
510.81,36,37,14,"Left",106.26,-8.11,1.54,"01"
516.9,37,20,8,"Left",219.71,-6.69,1.541,"01"
523.55,38,12,4,"Right",321.44,-1.18,1.545,"01"
532.59,39,23,8,"Right",101.49,2.65,1.543,"01"
542.71,40,48,16,"Right",358.68,-1.32,1.541,"01"
551.03,41,44,16,"Left",145.5,-5.92,1.543,"01"
555.88,42,46,16,"Right",348.2,-11.32,1.545,"01"
567.49,43,24,8,"Right",168.24,-7.22,1.543,"01"
574.76,44,22,8,"Right",325.47,-0.15,1.544,"01"
582.85,45,11,4,"Right",61.27,-0.74,1.544,"01"
590.7,46,27,10,"Left",114.4,3.34,1.541,"01"
599.73,47,50,18,"Left",325.79,-2.79,1.537,"01"
608.47,48,54,18,"Right",247.96,-10.51,1.54,"01"
615.52,49,33,12,"Left",218.26,-10.99,1.539,"01"
621.26,50,25,10,"Left",158.89,2.48,1.54,"01"
627.54,51,47,16,"Right",323.19,0.71,1.541,"01"
634.54,52,42,14,"Right",187.71,-3.63,1.54,"01"
641.25,53,30,10,"Right",322.97,2.45,1.55,"01"
651.42,54,29,10,"Right",327.33,-0.31,1.545,"01"
658.65,55,55,20,"Left",217.2,-6.64,1.547,"01"
667.09,56,9,4,"Left",69.9,7.61,1.541,"01"
669.32,56,9,4,"Left",69.9,6.57,1.54,"01"
679.79,57,15,6,"Left",41.76,-16.81,1.54,"01"
689.38,58,57,20,"Left",122.47,-7.33,1.539,"01"
696.55,59,45,16,"Left",79.67,-5.74,1.538,"01"
705.55,60,60,20,"Right",61.14,4.11,1.544,"01"
709.92,60,60,20,"Right",61.14,-6,1.542,"01"
717.59,60,60,20,"Right",61.14,5.38,1.544,"01"
75.99,2,55,20,"Left",100.4,1.06,1.565,"02"
90.18,3,2,2,"Left",343.51,4.91,1.573,"02"
97.18,4,56,20,"Left",141.01,0.37,1.573,"02"
106.94,5,16,6,"Right",167.16,-8.13,1.573,"02"
118.17,6,34,12,"Right",263.8,-7.96,1.569,"02"
129.23,7,58,20,"Right",340.94,-12.74,1.575,"02"
138.2,8,45,16,"Left",139.03,-2.75,1.568,"02"
144.57,9,35,12,"Right",290.39,-4.93,1.572,"02"
153.85,10,49,18,"Left",344.37,-5.55,1.565,"02"
164.04,11,14,6,"Left",359.22,-6.97,1.563,"02"
170.68,12,39,14,"Left",130.26,-12.84,1.573,"02"
179.17,13,10,4,"Right",206.66,-8.07,1.575,"02"
185,14,17,6,"Right",317.5,-16.79,1.57,"02"
191.11,15,6,2,"Right",338.7,-5.83,1.569,"02"
198.92,16,32,12,"Left",224.31,-2.69,1.575,"02"
206.96,17,33,12,"Left",133.11,-8.26,1.568,"02"
217.56,18,1,2,"Left",335.3,-0.48,1.574,"02"
222.05,19,4,2,"Right",342.81,-5.81,1.577,"02"
235.92,20,30,10,"Right",103.49,-10.03,1.574,"02"
242.25,21,9,4,"Left",301.31,-4.18,1.573,"02"
247.03,22,3,2,"Left",287.03,1.11,1.578,"02"
259.46,23,12,4,"Right",303.52,-13.22,1.568,"02"
271.43,24,22,8,"Right",167.91,-13.5,1.572,"02"
280.82,25,46,16,"Right",332.91,-16.07,1.571,"02"
282.08,25,46,16,"Right",332.91,-16.07,1.57,"02"
293.94,26,42,14,"Right",275.47,-18.33,1.575,"02"
298.62,27,26,10,"Left",232.91,-15.04,1.569,"02"
307.63,28,29,10,"Right",191.71,-13.1,1.574,"02"
316.49,29,44,16,"Left",299.87,-13.52,1.569,"02"
320.81,30,19,8,"Left",162.72,-5.68,1.572,"02"
330.61,31,54,18,"Right",9.39,-15.62,1.566,"02"
342.6,32,7,4,"Left",0.97,-7.08,1.567,"02"
354.58,33,40,14,"Right",145.1,-17.3,1.568,"02"
362.78,34,20,8,"Left",319.89,-15.57,1.564,"02"
372.42,35,21,8,"Left",274.11,-12.4,1.568,"02"
379.52,36,8,4,"Left",46.57,-6.26,1.568,"02"
390.09,37,47,16,"Right",354.33,-18.21,1.565,"02"
407.65,38,41,14,"Right",288.69,-20.46,1.567,"02"
422.19,39,52,18,"Right",204.25,-12.61,1.563,"02"
428.2,40,23,8,"Right",332.17,-18.05,1.562,"02"
438.96,41,24,8,"Right",155.52,-14.48,1.561,"02"
448.96,42,15,6,"Left",353.18,-8.29,1.569,"02"
458.89,43,43,16,"Left",355.53,-17.79,1.562,"02"
466.47,44,50,18,"Left",282.86,-14.38,1.568,"02"
474.19,45,13,6,"Left",83.18,-2.32,1.57,"02"
475.64,45,13,6,"Left",83.18,-2.32,1.568,"02"
483.82,46,27,10,"Left",326.19,-12.55,1.567,"02"
490.78,47,25,10,"Left",329.21,-9,1.566,"02"
498.67,48,37,14,"Left",31.12,-13.04,1.567,"02"
505.55,49,28,10,"Right",239.29,-11.74,1.573,"02"
511.95,50,5,2,"Right",257.28,-4.7,1.569,"02"
517,51,18,6,"Right",47.9,-10.1,1.57,"02"
522.96,52,38,14,"Left",221.85,-11.75,1.57,"02"
530.53,53,60,20,"Right",221.24,-11.54,1.576,"02"
536.07,54,36,12,"Right",81.13,-14.22,1.569,"02"
544.07,55,57,20,"Left",285.42,-14.34,1.573,"02"
551.58,56,53,18,"Right",196.84,-14,1.564,"02"
562.21,57,48,16,"Right",156.88,-14.92,1.568,"02"
570,58,59,20,"Right",175.6,-10.47,1.569,"02"
578.08,59,11,4,"Right",168.1,1.63,1.571,"02"
584.4,60,31,12,"Left",251.69,-9.64,1.572,"02"
586.39,60,31,12,"Left",251.69,-9.64,1.569,"02"
588.32,60,31,12,"Left",251.69,-9.64,1.57,"02"
592.69,60,31,12,"Left",251.69,-6.29,1.566,"02"
57.68,2,27,10,"Left",222.17,-14.63,1.756,"03"
65.55,3,4,2,"Right",281.98,3.04,1.754,"03"
85.02,4,17,6,"Right",208.55,-9.02,1.752,"03"
111.23,5,44,16,"Left",108.59,-13.15,1.75,"03"
133.52,6,8,4,"Left",28.57,-4.87,1.757,"03"
146.05,7,7,4,"Left",38.2,0.4,1.761,"03"
158.68,8,18,6,"Right",233.12,-5.81,1.756,"03"
171.83,9,6,2,"Right",127.85,1.84,1.76,"03"
183.99,10,42,14,"Right",358.3,-10.3,1.764,"03"
204.54,11,50,18,"Left",99.76,-9.14,1.76,"03"
210.63,12,41,14,"Right",239.55,-8.12,1.757,"03"
239.56,13,45,16,"Left",323.73,-13.47,1.757,"03"
256.94,14,22,8,"Right",138.55,-8.46,1.743,"03"
275.57,15,38,14,"Left",132.25,-9.36,1.754,"03"
290.65,16,13,6,"Left",123.38,-7.47,1.763,"03"
300.37,17,55,20,"Left",47.71,-5.6,1.758,"03"
309.75,18,47,16,"Right",66.67,-6.21,1.751,"03"
321.64,19,32,12,"Left",272.29,-5.17,1.761,"03"
330.31,20,59,20,"Right",7.31,-0.57,1.753,"03"
342.27,21,53,18,"Right",194.59,-10.47,1.751,"03"
351.7,22,54,18,"Right",169.6,-11.69,1.753,"03"
364.57,23,15,6,"Left",113.42,-7.45,1.767,"03"
371.95,24,2,2,"Left",134.01,2.41,1.764,"03"
379.38,25,40,14,"Right",3.89,-11.05,1.756,"03"
387.08,26,35,12,"Right",321.29,-10.6,1.754,"03"
397.61,27,16,6,"Right",297.85,-14.04,1.754,"03"
409.42,28,58,20,"Right",328.57,-8.88,1.755,"03"
417.47,29,52,18,"Right",331.13,-13.01,1.747,"03"
429.33,30,12,4,"Right",146.43,-7.21,1.759,"03"
438.65,31,24,8,"Right",309.81,-8.07,1.751,"03"
448.23,32,51,18,"Left",260.01,-13.03,1.749,"03"
455.03,33,39,14,"Left",105.74,-10.74,1.761,"03"
462.95,34,1,2,"Left",357.79,1.61,1.757,"03"
472.32,35,28,10,"Right",177.25,-13.82,1.751,"03"
484.81,36,20,8,"Left",97.67,-4.26,1.759,"03"
491.64,37,56,20,"Left",130.8,-5.28,1.758,"03"
496.41,38,48,16,"Right",12.05,-5.23,1.755,"03"
500.33,39,57,20,"Left",274.05,-7.48,1.752,"03"
508.58,40,30,10,"Right",19.67,-5.21,1.765,"03"
522.74,41,21,8,"Left",232.31,-12.88,1.76,"03"
532.36,42,11,4,"Right",128.36,1.71,1.757,"03"
547.51,43,26,10,"Left",345.07,-5.5,1.758,"03"
555.15,44,49,18,"Left",257.87,-11.64,1.766,"03"
559.14,45,33,12,"Left",231.07,-12.69,1.766,"03"
564.61,46,34,12,"Right",31.78,-7.9,1.753,"03"
573.15,47,43,16,"Left",342.25,-10.34,1.747,"03"
580.1,48,46,16,"Right",65.61,-5.42,1.749,"03"
584.77,49,23,8,"Right",284.22,-4.72,1.755,"03"
