Subject ID;How often do you use Virtual Reality Systems?;What kind of applications do you use Virtual Reality Systems for?;How often do you play computer games?;What kind of computer games do you play?;What is your age?:;What is your gender?;What is your gender? Open text answers;Do you have normal or corrected-to-normal vision?;What kind of vision do you have?:Nearsightedness: I can see objects clearly nearby, but not far;What kind of vision do you have?:Farsightedness: I can see objects clearly far away, but not near;What kind of vision do you have?:I have astigmatism;What kind of vision do you have?:Other;What kind of vision do you have?:Other Open text answers;Are you colorblind?;What was the result of your eye dominance test?;What is your height in centimeters?:;What IPD was used on the Valve Index?:The experimenter will enter this;What kind of vision correction do you have?
01;Once or just a couple times ever;mostly as part of experiments in studies conducted at ITEE department, at the University of Oulu.;Never;;34;Female;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;;;;No;Left eye dominance;162;65;
02;Once or twice a month;360 videos;Once or twice a month;first-person shooters;19;Male;;Yes, I have normal vision (20/20 vision);;;;;;No;Right eye dominance;172;65;
03;Once or twice a year;Adventure games;Several times a week;RPGs, Turn-based games, MMOs;25;Male;;Yes, I have normal vision (20/20 vision);;;;;;Yes;Right eye dominance;185;62;
04;Once or just a couple times ever;Video Games;Several times a week;"First Person shooters
Platformers
Action-adventure";26;Male;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;;;;No;Right eye dominance;184;67;
05;Several times a week;3rd person games, 360 videos;Every day;FPS, TPS, adventure games, casual, hyper casual, puzzle;25;Male;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;Farsightedness: I can see objects clearly far away, but not near;;;;No;Right eye dominance;176;66;
06;Once or twice a month;3D unity design games;Several times a week;FPS games;20;Male;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;;;;No;Left eye dominance;188;70;
07;Once or twice a month;adventure shooter games, video games;Several times a week;adventure games, shooter games,;31;Male;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;;;;No;Right eye dominance;170;62;
08;Once or twice a year;First person Action games like boxing;Once or twice a month;FPS, RTS, Single Player Adventure games;25;Male;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;;;;No;Left eye dominance;181;58;
09;Once or just a couple times ever;"i only used it in a course
";Once or twice a month;"adventure games
first-person shooters
role playing games
city builders";22;Male;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;;;;No;Right eye dominance;176;70;
10;Once or just a couple times ever;shooting games;Once or twice a week;strategy games, adventure games;21;Male;;Yes, I have normal vision (20/20 vision);;;;;;No;Right eye dominance;172;64;
11;Once or just a couple times ever;games, multiplayer games, first person shooters, video chatting, VR chat,;Several times a week;first person shooters, adventure, MMOs, AAA titles, sports games-FIFA, eFootball, tennis.;19;Male;;Yes, I have normal vision (20/20 vision);;;;;;No;Right eye dominance;171;64;
12;Once or twice a month;When I have VR studies in Ubicomp;Once or twice a year;Chess, strategy.;24;Male;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;;;;No;Right eye dominance;172;67;
13;Once or just a couple times ever;nothing;Never;nothing;24;Female;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;;;;No;Right eye dominance;162;62;
14;Never;;Several times a week;rpg, first-person shooters, combat games;21;Female;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;;;;No;Right eye dominance;159;64;
15;Never;I have never used it before.;Once or twice a year;first-person shooter and driving/racing games.;27;Male;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;;;;No;Right eye dominance;182;65;
16;Once or twice a year;for research experiments;Once or twice a year;adventure games;37;Female;;Yes, I have normal vision (20/20 vision);;;;;;No;Right eye dominance;163;69;
17;Once or just a couple times ever;First-person sport games;Once or twice a week;Adventure and strategic;20;Male;;Yes, I have normal vision (20/20 vision);;;;;;No;Left eye dominance;172;65;
18;Once or twice a month;games;Once or twice a month;easy and relaxed games;;Female;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;;;;No;Right eye dominance;157;59;
19;Once or just a couple times ever;tried a first person shooter and some 360 videos;Once or twice a month;chill games, simulation kind of games;27;Female;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;I have astigmatism;;;No;Right eye dominance;164;62;
20;Never;;Once or twice a month;Adventure and life simulation games;21;Female;;Yes, I have normal vision (20/20 vision);;;;;;No;Left eye dominance;163;65;
21;Once or just a couple times ever;Adventure and climbing games. 360 viewing of medical/models.;Several times a week;first/person shooters, open world games, strategy games e.g. chess;24;Male;;Yes, I have normal vision (20/20 vision);;;;;;No;Right eye dominance;190;65;
22;Once or just a couple times ever;games,painting;Every day;adventure games, stardew valley,click games;32;Female;;Yes, I wear glasses or contacts;Nearsightedness: I can see objects clearly nearby, but not far;;;;;No;Right eye dominance;170;66;
