"Distance","group_mean_Error","group_sd_Error","group_se_Error"
"2",6.04783333333333,4.93888891487248,1.1043691346975
"4",0.0144166666666666,3.87743684083679,0.867021235457309
"6",-2.22983333333333,4.06744376742563,0.909508075862155
"8",-0.6362,5.42819891123041,1.21378217609016
"10",-0.4575,6.37360037381904,1.42518036972774
"12",-0.627833333333333,4.47483597987498,1.00060374391623
"14",-1.36008333333333,5.95089681862376,1.330660981353
"16",-1.15433333333333,5.00806248793293,1.11983681585847
"18",-0.608583333333333,5.12412814649438,1.14578988609814
"20",-1.1475,4.28752455536589,0.95871963609977
