"ParticipantNumber","Distance","mean_Error","mean_AbsError","sd_Error","n_trials"
"01","2",3.38333333333333,5.98333333333333,6.97738824107321,6
"01","4",-2.95,5.14,6.79880871918015,6
"01","6",-8.74833333333333,8.74833333333333,6.69039136872176,6
"01","8",-4.20333333333333,5.08666666666667,4.4807573764562,6
"01","10",-1.81166666666667,4.56833333333333,6.06465635190211,6
"01","12",-1.535,5.77833333333333,7.47906344404164,6
"01","14",-8.26333333333333,8.26333333333333,3.96408711643257,6
"01","16",-4.1,4.33666666666667,4.4394369012297,6
"01","18",-4.38,6.17666666666667,6.03833089520606,6
"01","20",-6.31333333333333,6.31333333333333,2.43045400422774,6
"02","2",-1.8,3.80666666666667,4.38099532070054,6
"02","4",-6.19666666666667,6.74,4.87738727872482,6
"02","6",-8.76666666666667,8.76666666666667,4.72380637480694,6
"02","8",-13.28,13.28,4.1957073301173,6
"02","10",-11.91,11.91,2.17504022951301,6
"02","12",-7.95,7.95,3.97625954887253,6
"02","14",-15.62,15.62,3.54834609360474,6
"02","16",-13.8766666666667,13.8766666666667,5.72575118798107,6
"02","18",-7.78666666666667,12.9333333333333,11.9263064972634,6
"02","20",-7.94333333333333,8.42,6.83252417973524,6
"03","2",1.805,1.94833333333333,1.20280921180377,6
"03","4",-2.75333333333333,3.45666666666667,3.33902181284679,6
"03","6",-7.38166666666667,7.38166666666667,4.40130624549879,6
"03","8",-6.64333333333333,6.64333333333333,4.00935239991032,6
"03","10",-9.87833333333333,9.87833333333333,3.98931280631974,6
"03","12",-8.69666666666667,8.69666666666667,2.64366916740099,6
"03","14",-10.2883333333333,10.2883333333333,1.40362981824506,6
"03","16",-8.97,8.97,3.84205674086159,6
"03","18",-11.4966666666667,11.4966666666667,1.50380406525141,6
"03","20",-6.34,6.34,3.40139383194596,6
"06","2",-0.458333333333333,3.135,4.21178544879326,6
"06","4",-5.69833333333333,5.69833333333333,2.02237896217961,6
"06","6",-7.24166666666667,7.24166666666667,2.96328477650506,6
"06","8",-4.56,7.40333333333333,6.63573356909392,6
"06","10",-6.23,6.23,3.21084412577129,6
"06","12",-6.68833333333333,6.68833333333333,3.18389960059463,6
"06","14",-4.2,5.08333333333333,4.60625661464925,6
"06","16",-4.85,5.29333333333333,5.02955664050023,6
"06","18",-3.74166666666667,4.505,3.60569225900751,6
"06","20",-5.415,5.415,3.42588820599856,6
"07","2",6.065,6.065,4.183179412839,6
"07","4",-2.35833333333333,4.01166666666667,3.988069290605,6
"07","6",-0.23,4.38,5.29910935912819,6
"07","8",-0.678333333333333,3.55166666666667,4.43908736866787,6
"07","10",3.30833333333333,7.04166666666667,8.58263692967765,6
"07","12",3.325,5.52833333333333,6.28733568373759,6
"07","14",6.02333333333333,6.02333333333333,6.28254619295924,6
"07","16",0.435,3.76833333333333,4.45097629739813,6
"07","18",-3.01166666666667,4.105,4.67486648650704,6
"07","20",-5.66833333333333,6.545,4.58505579755216,6
"08","2",14.1916666666667,14.1916666666667,4.64905330864969,6
"08","4",2.64666666666667,4.57666666666667,5.71450668620369,6
"08","6",-3.65,3.65666666666667,2.17237197551432,6
"08","8",-2.50166666666667,3.05166666666667,2.8391366058481,6
"08","10",-2.59166666666667,3.005,2.66385747867011,6
"08","12",-3.35166666666667,4.83833333333333,4.00586777947883,6
"08","14",-2.32,3.15333333333333,2.91586693797917,6
"08","16",-4.03,5.13333333333333,4.6610428017773,6
"08","18",-4.82666666666667,4.82666666666667,2.58231420757945,6
"08","20",-2.86666666666667,3.35,4.21397041596956,6
"09","2",9.20666666666667,9.20666666666667,5.90390605164637,6
"09","4",4.24833333333333,4.90166666666667,4.71901437449248,6
"09","6",2.67166666666667,2.97833333333333,2.40472382336656,6
"09","8",2.01166666666667,3.61833333333333,4.97911002757186,6
"09","10",0.923333333333333,2.92,3.68514676324657,6
"09","12",2.64166666666667,3.495,3.81231382059068,6
"09","14",2.42833333333333,2.42833333333333,2.00317165182285,6
"09","16",1.09833333333333,2.75833333333333,4.02550576532523,6
"09","18",2.20166666666667,5.39833333333333,7.0800604987999,6
"09","20",4.67166666666667,5.75166666666667,5.30367199840513,6
"10","2",0.736666666666667,2.65,3.29854311274942,6
"10","4",-3.73833333333333,5.31166666666667,6.3582652246243,6
"10","6",-1.99833333333333,4.905,6.22442099047507,6
"10","8",-0.245,5.07166666666667,5.99053503453573,6
"10","10",-4.97333333333333,6.41,6.96003639837226,6
"10","12",-0.485,5.00166666666667,6.31764433946705,6
"10","14",-1.51,3.29,3.7387484536941,6
"10","16",-1.65333333333333,3.20666666666667,4.46915055314393,6
"10","18",-0.145,5.62166666666667,7.31603922898176,6
"10","20",4.53666666666667,6.44,8.1911016760059,6
"11","2",13.33,13.5666666666667,10.3882741588774,6
"11","4",4.175,4.305,3.22731312394692,6
"11","6",1.39833333333333,2.675,2.69010346765076,6
"11","8",-2.734,2.734,1.60266340820523,5
"11","10",0.646666666666667,3.29333333333333,4.7237005267763,6
"11","12",0.18,2.69333333333333,3.36597088519791,6
"11","14",2.32833333333333,2.94166666666667,2.40773268172915,6
"11","16",-0.93,2.24666666666667,2.58524273521849,6
"11","18",2.20166666666667,3.99166666666667,3.82616474640947,6
"11","20",0.336666666666667,2.78666666666667,4.05458094834308,6
"12","2",-0.371666666666667,2.34833333333333,3.31685041367058,6
"12","4",-1.155,4.95833333333333,6.60279864905784,6
"12","6",-4.84666666666667,5.38333333333333,4.30396406428616,6
"12","8",-5.92666666666667,7.81666666666667,6.9971727623853,6
"12","10",-5.62,6.46666666666667,5.84001027396357,6
"12","12",-5.12166666666667,6.19833333333333,5.51123730814294,6
"12","14",-2.36333333333333,3.80333333333333,4.32049379893857,6
"12","16",-0.085,5.44833333333333,6.17414852429062,6
"12","18",-3.73,4.57666666666667,3.90623603997506,6
"12","20",-4.09666666666667,7.52666666666667,8.00311106174759,6
"13","2",11.945,11.945,3.57519649809629,6
"13","4",6.215,6.215,4.93824158987792,6
"13","6",1.78833333333333,2.25166666666667,1.89531439784186,6
"13","8",7.02833333333333,8.31166666666667,7.46587815776997,6
"13","10",6.08666666666667,8.11,7.43053071231569,6
"13","12",6.62,6.62,5.77632062822001,6
"13","14",5.41,6.30333333333333,5.9598087217628,6
"13","16",4.52166666666667,4.52166666666667,3.36776137317754,6
"13","18",4.63,4.86,3.8897969098656,6
"13","20",4.515,4.515,3.49505221706343,6
"14","2",13.0816666666667,13.0816666666667,4.88325062501062,6
"14","4",3.21166666666667,4.73833333333333,5.19427537455097,6
"14","6",-1.03666666666667,2.96333333333333,3.93415132737248,6
"14","8",0.838333333333333,4.405,5.98902134464945,6
"14","10",2.105,2.76166666666667,3.832715747352,6
"14","12",-0.453333333333333,3.90333333333333,5.27090378082039,6
"14","14",2.05666666666667,3.45,4.59288870610498,6
"14","16",2.12166666666667,3.12833333333333,2.74003223825317,6
"14","18",0.206666666666667,3.51,5.50099869720641,6
"14","20",0.313333333333333,4.2,6.37068180547943,6
"15","2",7.64166666666667,7.64166666666667,4.21196114258746,6
"15","4",3.89166666666667,4.07833333333333,2.86631761440819,6
"15","6",3.43666666666667,3.43666666666667,3.50521135834441,6
"15","8",1.46166666666667,1.65833333333333,2.35284862808185,6
"15","10",2.30333333333333,3.86666666666667,4.45007265858285,6
"15","12",2.24166666666667,2.81166666666667,3.11581396534945,6
"15","14",2.28666666666667,3.56666666666667,3.75262397085915,6
"15","16",3.125,3.125,2.06163769852998,6
"15","18",4.80666666666667,5.31,4.06258866569908,6
"15","20",-0.306666666666667,2.78,3.2734976197741,6
"16","2",2.66166666666667,3.345,2.66608639519928,6
"16","4",-6.85166666666667,8.055,5.48283655297754,6
"16","6",-9.16333333333333,10.2166666666667,6.39783609251336,6
"16","8",-6.44,6.87333333333333,5.59359991418764,6
"16","10",-9.66666666666667,9.66666666666667,3.15752223534002,6
"16","12",-7.47,7.96,6.20029999274229,6
"16","14",-10.72,10.72,2.37594612733538,6
"16","16",-7.995,7.995,4.54787312927702,6
"16","18",-7.05833333333333,7.315,5.37767018946557,6
"16","20",-6.26,6.26,3.09930960054009,6
"17","2",6.21166666666667,6.21166666666667,2.12957664024253,6
"17","4",0.221666666666667,2.30833333333333,3.47950235905462,6
"17","6",-0.991666666666667,2.44166666666667,3.41516861467581,6
"17","8",2.27833333333333,5.025,5.50692806078549,6
"17","10",2.46833333333333,6.685,8.61144916182327,6
"17","12",1.75166666666667,5.01166666666667,6.03869660329666,6
"17","14",-0.968333333333333,6.13833333333333,7.40940325982239,6
"17","16",3.08,4.85333333333333,5.39767357293862,6
"17","18",3.29333333333333,3.29333333333333,2.26645685303442,6
"17","20",-0.301666666666667,2.50833333333333,3.40023185483971,6
"18","2",11.7666666666667,13.3,9.14486668391982,6
"18","4",3.61166666666667,13.6016666666667,18.3661845974243,6
"18","6",0.688333333333333,12.8683333333333,15.3786168645515,6
"18","8",10.8583333333333,11.465,9.1123815035734,6
"18","10",15.4333333333333,18.8566666666667,16.4729556141776,6
"18","12",3.9,9.87,13.3213017381936,6
"18","14",0.921666666666667,10.1383333333333,13.491222949261,6
"18","16",6.63,13.0866666666667,18.3024369962035,6
"18","18",8.68666666666667,10.7333333333333,8.87842253255986,6
"18","20",6.53,16.1433333333333,19.0980323593819,6
"19","2",5.34166666666667,5.53166666666667,4.11478999059085,6
"19","4",3.31,4.9,5.15571527530371,6
"19","6",0.945,2.54833333333333,3.11611777697827,6
"19","8",1.55833333333333,3.76833333333333,4.46670534809122,6
"19","10",3.62666666666667,4.38666666666667,3.3886968980224,6
